성별,연령,교육수준,소득,생활만족도,정치관심도
여성,44,대졸,442,1,2
여성,57,대졸,424,5,1
여성,43,대졸,236,5,2
남성,37,고졸이하,377,3,2
남성,55,대학원이상,306,1,2
남성,55,대학원이상,462,4,2
여성,42,대학원이상,587,3,5
남성,21,대학원이상,469,3,3
여성,65,고졸이하,89,4,2
여성,38,대학원이상,534,3,4
여성,50,대졸,656,2,3
여성,49,대졸,169,5,1
남성,52,대졸,127,5,2
남성,32,대졸,277,5,1
남성,20,고졸이하,364,5,4
남성,40,대졸,701,4,4
여성,32,고졸이하,491,4,3
남성,35,고졸이하,269,3,4
남성,52,고졸이하,101,4,3
여성,55,대학원이상,654,3,5
여성,51,대졸,186,5,1
남성,35,고졸이하,191,2,5
남성,25,대학원이상,257,2,2
여성,27,대졸,810,3,2
여성,20,대졸,478,5,4
남성,51,대졸,234,5,2
여성,35,고졸이하,157,3,3
남성,52,고졸이하,138,2,3
남성,51,대졸,274,4,5
여성,29,고졸이하,222,3,4
여성,48,대졸,213,3,2
여성,47,대졸,180,3,2
남성,43,대학원이상,480,5,3
여성,20,대학원이상,350,5,4
남성,37,고졸이하,221,3,1
남성,38,대졸,350,4,1
남성,51,대졸,161,2,2
남성,50,대졸,185,5,4
남성,54,대졸,225,3,4
여성,23,고졸이하,204,3,4
남성,38,대졸,320,5,3
남성,37,대학원이상,407,4,3
남성,56,고졸이하,153,1,2
여성,31,대졸,158,4,3
여성,65,대졸,586,4,3
남성,43,고졸이하,161,4,5
여성,36,대졸,321,2,1
여성,34,대학원이상,559,2,2
남성,26,대학원이상,248,4,3
남성,40,고졸이하,172,5,3
여성,35,대졸,316,4,4
여성,30,대학원이상,646,4,3
여성,33,대졸,158,3,4
남성,43,대학원이상,749,4,2
여성,28,대학원이상,650,2,1
남성,31,고졸이하,140,3,2
남성,36,고졸이하,265,3,5
여성,38,고졸이하,199,4,5
여성,44,고졸이하,122,3,4
남성,39,고졸이하,221,5,5
여성,26,고졸이하,266,5,2
여성,20,고졸이하,316,2,2
남성,43,고졸이하,177,4,3
여성,25,고졸이하,273,3,2
남성,41,대학원이상,643,3,3
남성,20,대졸,193,3,4
여성,34,대졸,528,3,5
남성,31,대학원이상,491,3,3
여성,27,대학원이상,373,5,3
남성,20,고졸이하,115,5,2
남성,53,고졸이하,175,5,3
남성,30,고졸이하,153,2,3
여성,32,고졸이하,209,5,3
여성,44,대졸,207,1,5
남성,48,대학원이상,593,5,2
여성,50,대학원이상,363,2,3
남성,20,고졸이하,116,2,3
여성,49,고졸이하,210,4,2
여성,22,대학원이상,269,4,2
