성별,연령,교육연수,경력연수,소득,생활만족도,정치관심도
남성,43,14,6,559,3,3
여성,61,14,9,719,3,4
여성,51,17,7,583,4,3
남성,37,11,11,517,1,4
남성,26,11,10,851,3,4
여성,50,15,15,774,1,2
남성,55,17,16,964,4,2
남성,39,14,17,794,1,3
여성,45,14,11,466,3,3
여성,36,10,7,487,2,4
남성,54,15,23,1100,3,4
남성,60,18,17,1020,2,2
남성,21,11,9,445,3,2
여성,51,7,5,394,3,1
여성,21,8,7,396,4,3
남성,42,10,2,425,4,5
여성,55,11,8,636,2,2
여성,44,12,7,462,2,1
여성,44,13,14,817,4,1
남성,40,15,10,626,3,4
여성,40,9,7,664,2,5
남성,43,13,17,809,3,5
남성,60,12,4,613,3,5
여성,42,6,1,507,3,3
여성,22,14,9,730,3,2
여성,63,13,0,433,4,2
여성,42,11,8,551,3,4
여성,46,10,10,643,1,2
남성,48,14,15,960,4,3
여성,41,12,3,863,3,4
남성,52,14,4,573,5,4
여성,53,10,0,561,4,2
여성,53,9,5,628,4,5
남성,36,12,4,756,4,3
여성,36,13,11,608,3,4
남성,27,15,11,831,3,5
여성,47,12,10,737,3,4
여성,20,14,6,502,4,1
여성,26,15,13,747,1,1
여성,40,10,14,391,3,3
여성,24,10,13,578,2,4
남성,35,16,14,774,4,4
남성,37,12,9,636,3,4
남성,38,17,12,1030,4,5
남성,30,12,8,655,4,3
남성,34,18,16,1151,3,5
남성,50,18,13,951,2,3
남성,27,15,14,989,2,3
여성,65,15,20,797,3,2
남성,33,11,11,591,2,3
여성,34,13,7,722,3,1
남성,33,15,16,772,3,5
여성,56,11,12,756,4,3
여성,20,14,11,763,4,2
남성,39,14,15,728,5,5
여성,43,7,10,389,4,3
남성,60,17,24,1051,3,2
남성,24,6,0,449,4,3
여성,23,14,6,757,3,3
남성,41,9,8,351,3,2
여성,63,13,16,760,4,4
여성,42,13,12,553,3,2
남성,25,14,9,882,3,2
남성,20,14,20,804,3,4
여성,37,15,8,615,4,2
여성,27,10,4,501,2,2
남성,34,18,14,691,3,3
여성,42,9,4,375,3,1
여성,30,14,6,732,3,2
여성,45,8,5,487,5,2
남성,31,14,9,793,3,3
남성,45,15,11,924,3,3
남성,43,14,14,578,4,3
여성,49,9,5,646,3,5
남성,39,13,6,594,3,3
남성,20,16,16,980,5,2
남성,36,17,29,1183,3,3
여성,30,16,9,1031,5,2
여성,56,9,3,332,5,3
여성,41,15,7,781,3,2
남성,25,16,18,918,1,2
남성,20,12,15,796,2,4
여성,35,12,14,731,4,3
남성,31,14,9,759,1,3
여성,20,15,9,924,2,3
남성,20,10,0,468,4,1
남성,52,12,2,718,2,2
남성,31,7,2,297,3,4
여성,20,14,13,702,4,4
여성,25,13,8,563,4,5
남성,44,12,11,849,3,4
남성,38,14,10,687,4,2
남성,41,15,14,1035,4,3
여성,42,9,2,521,3,4
남성,37,15,8,923,3,3
남성,58,6,2,762,3,1
남성,40,11,10,908,3,1
남성,36,14,21,1060,4,4
남성,20,18,30,1184,1,4
남성,26,18,16,1037,5,1
남성,32,8,8,561,4,4
여성,36,18,16,1128,2,2
남성,54,14,21,739,4,2
남성,41,14,6,534,3,5
여성,33,16,14,808,3,1
여성,32,13,14,867,2,3
여성,26,8,2,502,2,3
남성,48,11,10,640,4,5
남성,44,18,16,1186,3,2
남성,35,14,2,747,3,3
남성,56,17,15,790,3,2
남성,54,17,13,820,5,3
남성,35,18,22,999,3,2
남성,38,18,23,859,3,2
남성,54,12,11,565,2,3
여성,41,10,13,576,5,1
남성,35,11,17,674,5,2
남성,20,17,13,882,1,5
여성,33,11,10,426,3,2
여성,48,14,15,828,4,4
여성,45,18,18,1090,4,1
여성,38,14,13,781,1,4
남성,32,13,8,753,4,1
남성,42,12,7,760,3,2
남성,55,16,13,844,5,3
여성,31,12,5,519,4,3
남성,23,14,13,899,1,5
남성,41,16,19,1180,2,2
남성,53,14,9,935,3,5
여성,50,15,6,826,3,3
여성,50,15,23,1123,3,3
남성,42,11,9,564,4,3
남성,40,10,13,602,4,4
여성,45,13,10,811,1,4
여성,29,11,7,388,5,1
남성,45,9,0,429,3,3
여성,44,12,13,357,2,2
남성,51,14,4,735,3,2
여성,35,13,13,799,3,1
남성,37,12,23,895,5,3
여성,62,10,4,395,3,4
남성,45,12,12,660,1,2
여성,46,14,19,921,4,2
여성,40,6,0,251,4,5
여성,39,14,15,801,4,3
여성,45,9,8,384,3,2
남성,47,8,0,371,2,3
여성,41,6,0,343,4,4
남성,36,11,5,630,2,5
여성,44,10,13,684,4,1
여성,30,14,9,991,3,4
여성,45,15,10,715,2,3
여성,52,15,13,951,5,3
남성,36,18,16,1025,1,3
남성,41,16,11,985,4,3
남성,46,16,6,629,1,1
여성,50,16,11,991,5,2
남성,48,17,19,1066,1,3
남성,44,12,10,1111,2,3
남성,53,13,0,490,3,3
여성,29,11,2,626,3,1
여성,23,11,4,625,4,4
여성,47,15,8,761,4,2
남성,43,16,16,1200,3,2
남성,50,17,14,958,4,4
남성,54,18,20,1170,1,3
여성,35,15,6,640,2,5
여성,36,18,20,912,2,5
남성,49,13,10,741,4,4
남성,39,14,7,559,3,4
남성,52,12,9,565,2,2
여성,49,6,4,511,5,4
남성,20,14,8,1104,2,4
남성,45,14,15,835,3,1
남성,33,14,19,647,4,4
여성,41,11,0,560,2,5
남성,44,16,9,977,3,4
여성,21,9,4,533,5,5
여성,37,14,15,641,3,3
여성,62,12,5,420,3,4
여성,59,11,0,535,4,2
남성,52,14,6,563,3,3
여성,42,13,9,490,5,2
여성,54,10,11,593,4,4
남성,51,12,3,499,2,3
여성,32,6,0,459,5,1
남성,45,13,11,941,5,3
여성,49,15,15,824,2,4
남성,38,16,14,903,2,2
남성,50,14,15,621,1,3
남성,32,14,15,948,3,3
남성,54,13,12,602,3,3
남성,65,11,1,442,2,2
남성,36,9,3,483,4,3
여성,27,10,7,716,5,5
남성,38,15,9,662,2,1
여성,37,15,16,775,2,3
남성,45,17,13,1113,4,2
남성,40,16,10,892,3,1
여성,33,18,18,872,3,2
