성별,연령대,교육수준,소득,생활만족도,정치관심도
남성,50대+,고졸,341,7,4
여성,50대+,대학원,451,5,4
남성,50대+,대졸,206,5,3
여성,40대,대학원,282,5,5
남성,50대+,대졸,397,4,7
여성,30대,대학원,426,7,7
여성,20대,고졸,406,3,6
남성,30대,대졸,402,3,8
남성,30대,고졸,324,5,3
남성,20대,대학원,586,8,4
남성,20대,대학원,462,8,7
여성,50대+,대졸,454,10,6
여성,30대,고졸,296,3,4
여성,50대+,대졸,244,10,5
여성,40대,대학원,403,7,2
남성,50대+,대졸,458,4,4
남성,30대,고졸,312,9,1
남성,30대,대학원,406,6,4
남성,40대,고졸,342,6,5
여성,40대,대학원,417,7,4
여성,30대,고졸,395,8,2
남성,50대+,대졸,368,3,8
남성,30대,고졸,78,5,5
여성,50대+,대학원,447,5,5
남성,30대,고졸,239,5,2
여성,40대,대졸,289,8,3
남성,50대+,대졸,330,6,7
여성,50대+,대졸,109,3,5
여성,30대,대졸,50,6,5
여성,40대,고졸,50,6,6
남성,30대,대학원,804,3,4
남성,30대,고졸,433,6,4
남성,20대,고졸,502,7,4
여성,30대,고졸,111,7,1
남성,40대,대졸,499,4,6
남성,50대+,고졸,474,3,5
여성,20대,대졸,262,3,9
여성,50대+,고졸,345,6,7
여성,20대,고졸,204,2,5
여성,40대,고졸,50,6,5
남성,20대,대졸,664,5,8
여성,20대,대졸,164,6,7
남성,50대+,대졸,366,8,4
여성,40대,고졸,156,3,3
남성,50대+,대졸,245,10,3
남성,20대,고졸,283,6,3
남성,30대,대졸,325,5,6
여성,20대,대졸,369,4,5
여성,50대+,대학원,472,10,3
남성,40대,대학원,657,3,4
남성,40대,대학원,288,4,7
여성,20대,대학원,334,6,6
여성,40대,대졸,262,6,7
남성,30대,대졸,401,4,6
남성,30대,대졸,321,8,1
여성,20대,고졸,211,4,7
여성,50대+,대학원,352,9,10
여성,30대,고졸,349,5,1
남성,20대,고졸,332,6,4
남성,40대,고졸,129,9,2
남성,50대+,대졸,311,3,9
여성,50대+,대졸,379,3,7
남성,40대,대학원,671,6,8
남성,50대+,대졸,363,2,5
여성,30대,대학원,316,5,2
남성,50대+,대졸,440,6,7
남성,50대+,대학원,323,7,4
여성,30대,대졸,384,4,4
여성,40대,고졸,264,6,3
여성,50대+,고졸,394,5,7
남성,20대,고졸,166,4,5
남성,50대+,대학원,518,7,4
남성,50대+,대졸,323,4,10
여성,30대,대졸,520,6,2
남성,20대,대졸,469,4,2
남성,50대+,고졸,331,2,8
남성,20대,고졸,392,5,5
남성,20대,고졸,406,2,5
여성,30대,고졸,204,6,3
여성,20대,고졸,77,8,9
남성,40대,대학원,484,6,2
여성,20대,대졸,287,6,5
여성,20대,고졸,50,6,9
남성,20대,고졸,50,5,3
여성,50대+,대학원,370,8,8
남성,50대+,대졸,259,5,4
여성,50대+,대졸,447,5,7
여성,20대,고졸,125,5,5
남성,30대,고졸,195,5,3
남성,40대,대졸,437,3,5
남성,40대,대졸,216,5,3
남성,20대,고졸,433,6,3
여성,30대,대학원,496,6,7
여성,20대,고졸,309,7,4
남성,40대,대졸,232,6,7
여성,40대,대학원,566,7,8
남성,40대,고졸,60,7,7
여성,20대,고졸,109,8,6
남성,20대,대졸,360,6,4
남성,20대,대학원,261,3,3
남성,50대+,대졸,145,5,3
여성,20대,고졸,229,6,4
여성,30대,고졸,356,3,3
여성,20대,고졸,193,4,6
남성,20대,고졸,340,9,4
여성,20대,대졸,194,6,7
남성,20대,고졸,366,5,7
여성,30대,대졸,358,6,6
여성,30대,고졸,230,6,3
남성,30대,대졸,349,7,7
여성,40대,대졸,593,6,5
남성,50대+,대학원,245,4,6
남성,30대,대졸,157,4,1
남성,30대,대졸,404,6,5
남성,30대,고졸,348,10,3
남성,20대,고졸,385,4,7
남성,20대,대학원,652,6,6
남성,40대,고졸,303,3,6
여성,40대,대학원,353,7,4
남성,30대,대학원,462,5,5
여성,30대,대학원,366,9,8
여성,20대,대졸,266,4,8
여성,30대,대학원,372,9,7
여성,20대,고졸,277,8,6
여성,30대,대졸,327,10,3
여성,50대+,대학원,50,9,4
남성,30대,대학원,344,1,6
남성,50대+,고졸,418,5,4
여성,50대+,고졸,102,7,2
